Sector,ISOcode,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Power Industry,ABW,Aruba,0.034724363499921,0.034724363499921,0.034176170325924,0.03851942145018,0.034307703550257,0.042696097141749,0.045750699896619,0.047303660191767,0.056357220720872,0.049007612349739,0.049000360290375,0.046898137387333,0.044681135203447,0.04499597765331,0.050988694721951,0.052237170709397,0.050889924473729,0.050781913563624,0.18753117216883,0.2009956049944,0.21223541905401,0.27226854695382,0.32485404205188,0.27080561887875,0.30051887639183,0.36963643910099,0.24519165901588,0.36037383058481,0.384476966814,0.34168187919154,0.4164194944451,0.4310021190829,0.47710193444285,0.68820984851807,0.70720635270706,0.74474071004161,0.739960580032,0.759319593014,0.73984426933351,0.77573518264005,0.80875737643725,0.75861944773384,0.89629214801724,0.84644248754271,0.8678208893464,0.87516956952167,0.8656559632727,0.63649981627679,0.62646984354522,0.64443157576691,0.53184651054778,0.59253686928375
Power Industry,AFG,Afghanistan,0.057192838329956,0.057192838329956,0.11737344802212,0.17570155771452,0.20773401614003,0.21163020898019,0.24201188796018,0.37727427016018,0.27498706693985,0.30300005885317,0.31225203113837,0.36479264005153,0.36285685259553,0.50896539664859,0.46129940635738,0.64494104309685,0.67720979389181,0.74239323183814,0.68665813681659,0.61214420338702,0.60573933544503,0.56308952907553,0.33383028767132,0.35345654484971,0.22927469169798,0.36023957248738,0.39767984602906,0.39610072954193,0.48062902681835,0.44930734004632,0.3899808285574,0.35001382097572,0.32431898693005,0.38676854244971,0.34335394205644,0.49397544760947,0.54787075523984,0.68649014298468,1.2097175355663,1.7504540281,2.1027789990216,2.6686648207715,2.3019779921505,2.141512639909,2.1849218651602,2.403154634854,2.3816350124729,2.5363187008323,2.7145422629036,2.4122860491888,2.4978782339182,2.5472927690622
Power Industry,AGO,Angola,0.13758428688,0.13758428688,0.15926765073,0.16879630749,0.371818686,0.3529558524,0.34653880722,0.34653880722,0.34653880722,0.38698809366,0.39982218402,0.39982218402,0.42199108011,0.45952290207,0.11735687376,0.16091776404,0.20447833698,0.17336355246,0.26048500794,0.24492761568,0.29159979246,0.24492761568,0.17258696211,0.12523541721,0.17501919783,0.17190759399,0.19709054661,0.4166296782,0.38512628052,0.62110769655,0.72854826177,0.82062496068,0.82062496068,1.02752937147,0.65329045494,0.76743850263,0.86894724336,0.97677514914,1.38592012596,2.2263783468,2.36911263924,2.22958686939,2.69912947092,3.99365813193,5.66971070784,6.13096244586,4.19826295911,4.07150884977,4.01646896376,4.61212950741,4.3044580559494,4.6879033244144
Power Industry,AIA,Anguilla,0.000429951228,0.000429951228,0.000435889935,0.000438440766,0.000446634894,0.000479855814,0.000521363202,0.000449383428,0.000542578824,0.000661636557,0.000455850741,0.000451961838,0.000445260675,0.000416852172,0.000409831932,0.0004032345358,0.0004444555999,0.0004641201953,0.0003594710413,0.0003740667274,0.0004022169092,0.0004202774055,0.0004428350609,0.0004437834195,0.0004556699747,0.0004610670143,0.000497931692,0.000459604934,0.0005737600666,0.000490763264,0.000648089832,0.000730569629,0.0007210458602,0.0007507857953,0.0007528239037,0.0007448208196,0.0007366833951,0.0007603266599,0.0007769127515,0.0007781953385,0.000789682275,0.000910453161,0.000910453161,0.0009775334044002,0.000975977890977,0.0009798039793956,0.0010178283202747,0.0010558526611538,0.0010253797919943,0.0010329379329942,0.00086982368931984,0.00099843668733334
Power Industry,ALB,Albania,0.69830744922,0.69830744922,0.74338848514,0.75657355204,0.76370174788,0.7101186685,0.72209492548,0.71804771452,0.79851400936,0.83995537996,0.81962770582,0.79040476732,0.90009440702,0.93010271768,0.9755917157,0.99726376988,1.00978364036,1.00978364036,1.01126367416,1.00090343756,0.52574864868,0.33287044158,0.186656292,0.3204265959,0.39197835252,0.26442964638,0.21776556564,0.20221109136,0.21465460422,0.21074328103,0.28446112301,0.27356691565,0.284921458,0.17344147116,0.16799053896,0.14310318042,0.14310318042,0.09021718458,,0.00622192284,0.01555479936,0.03110927364,,,,,,,,,,
Power Industry,ANT,Curaçao,0.55695514446,0.55695514446,0.59118121548,0.61607310192,0.63163049418,0.6440762826,0.65029949802,0.64407660768,0.65652207102,0.66585689028,0.6751913922,0.6751913922,0.6969716748,0.7031942478,0.65652238836,0.60985021158,0.51339392909999,0.55695514446,0.50717103876,0.53206325028001,0.57251221164,0.57873510972,0.61918438842,0.65341078452,0.6969716748,0.7218632439,0.72808645932,0.74675513034,0.79653891096,0.79653891096,0.80276180904,0.73742063616,0.77475862836,0.79965019746001,0.8183192013,0.84321108774,0.82143081288,0.84632237424,0.8400994839,0.88054877034,0.89921776644,0.89921776644,0.92302445169,0.81490482216,0.77435862471,0.58825790031,0.65553961638,0.56257969086,0.49068666933,0.54425096904,0.4491679018082,0.50042359410435
Power Industry,ARE,United Arab Emirates,0.14985432,0.14985432,0.34474572,0.53155872,0.69544926,1.00995147,1.43295669,2.20959858,2.81421675,3.73146369,4.71467823,5.39645388,6.66565344,7.58229057,8.22470685,8.97151362,9.58141434,10.20966183,11.09590791,11.67075981,12.76889442,12.97185015,13.97066217,16.24476414,17.74522149,18.52494639,19.77434685,21.40331628,23.84861064,26.42053704,29.257269,32.40043491,36.00715437,40.02327303,48.13020906,51.48167424,55.04811618,55.12181532,66.35205924,57.4896672,58.74626805,60.03440574,62.288858880001,62.59458327,65.623128,69.89759598,70.08443526,71.705611134001,70.673285102999,69.861142641,68.443082430597,68.304103041554
Power Industry,ARG,Argentina,19.29055918809,19.29055918809,21.1291474624,19.77668385759,18.81788265116,18.42527345616,19.02865631158,21.55748349871,18.63247546122,20.82899372889,18.69948794681,17.23378243968,15.70561278899,17.19685007652,15.76883938581,14.21608063033,17.72154003676,18.85510843871,25.20311809129,24.85100956504,18.80808468129,20.88436509516,19.59744711078,20.14299109298,20.61080470872,21.16078135589,24.48540704663,22.74394013704,25.37622728655,30.06854161173,28.95658878434,26.29913110023,23.764478720509,27.6465333574,34.363289530529,36.70694356516,39.63786043536,39.03268376821,43.02582531686,40.198181179,42.8384985637,48.20318190953,50.691910757809,48.31779006446,50.0268422285,52.20435283411,53.51539658912,50.766991676751,47.06226350756,39.96352716945,38.303746165285,42.487594419826
Power Industry,ARM,Armenia,2.0015394,2.0015394,2.2118694,2.6535921,3.0736881,3.4151121,3.6310179,3.8067099,3.9962256,4.202337,4.3756233,4.6296243,4.7257137,4.778451,4.6947894,4.6767087,4.5687459,4.5277467,4.2611496,3.8532465,6.10044379023,7.79963030463,4.8663720294,0.81306915927,0.82107876738,1.39234423938,1.53650938161,1.80132957546,1.78643718561,1.45582858707,1.60098738756,1.5394400439,0.91740331122,0.87817257,0.76669054902,0.94946459586,0.90341764854,1.08154625634,1.04039701293,0.64531258341,0.63274065756,0.9454251378,1.43164398366,1.32132320463,1.13085333174,1.2718836603,1.17291155223,1.23889154763,1.48394342184,1.35336100581,1.4284659515342,1.5120516747746
Power Industry,ATG,Antigua and Barbuda,0.14298267323497,0.14298267323497,0.14072540722439,0.15860938244191,0.1412670146187,0.17580745881897,0.18838523486843,0.19477977726022,0.23205914414477,0.20179605085186,0.20176618943096,0.17241962281652,0.22340567595153,0.13234111074503,0.16496342410043,0.16900261111863,0.16739118083769,0.20796164435005,0.20728688943126,0.16462308561649,0.17280421577532,0.19764693407773,0.21434209595299,0.17360024287735,0.18469579503626,0.21607388646512,0.21653832197877,0.20264722803897,0.22128780849544,0.1982406980149,0.22677719759818,0.22752373144459,0.2752473029727,0.42511714007393,0.42832768887029,0.43216852261557,0.449919612606,0.46386462481564,0.47557790174599,0.5123188277858,0.55290988414389,0.61214373974832,0.62561524551058,0.59832703471594,0.6247791754428,0.62088118188129,0.63254147145492,0.37745658749998,0.39628023776376,0.3927815037547,0.32416082643227,0.36115164324529
